"Nom* (s.nom)","Ã‰tat (s.status)","Client* (s.client)","Fournisseur* (s.fournisseur)","Code client (s.code_client)","Code fournisseur (s.code_fournisseur)","CustomerAccountancyCode (s.code_compta)","SupplierAccountancyCode (s.code_compta_fournisseur)","Adresse (s.address)","Code postal (s.zip)","Ville (s.town)","StateId (s.fk_departement)","Code pays (s.fk_pays)","TÃ©lÃ©phone (s.phone)","Fax (s.fax)","Url (s.url)","Email (s.email)","Identifiant professionnel 1 (s.siren)","Identifiant professionnel 2 (s.siret)","Identifiant professionnel 3 (s.ape)","Identifiant professionnel 4 (s.idprof4)","Identifiant professionnel 5 (s.idprof5)","Identifiant professionnel 6 (s.idprof6)","Num. TVA (s.tva_intra)","Capital (s.capital)","Note (privÃ©e) (s.note_private)","Note (publique) (s.note_public)","Type du tiers (s.fk_typent)","Effectif (s.fk_effectif)","Forme juridique (s.fk_forme_juridique)","Potentiel du prospect (s.fk_prospectlevel)","Statut prospect (s.fk_stcomm)","DefaultLanguage (s.default_lang)","BarCode (s.barcode)","Date crÃ©ation (s.datec)"
"EARL DES COLLEY D HERIPRE",1,2,0,"auto",,,,"CHEMIN D HERIPRE",62150,"GAUCHIN LEGAL","62","FR",,,,,,,,,,,,,,"Courrier envoyé le 9/04/2017 dans campahgne d'emailing groupemtn d'achat",,,,,,,,
"MONSIEUR CAMILLE DELMOTTE",1,2,0,"auto",,,,"21 RUE BOCQUET",62150,"GAUCHIN LEGAL","62","FR",,,,,,,,,,,,,,"Courrier envoyé le 9/04/2017 dans campahgne d'emailing groupemtn d'achat",,,,,,,,
"STEF POTTIEZ FRERES",1,2,0,"auto",,,,"239 RUE DE L ECLEME",62350,"ROBECQ","62","FR",,,,,,,,,,,,,,"Courrier envoyé le 9/04/2017 dans campahgne d'emailing groupemtn d'achat",,,,,,,,
"SARL AU BOUT DU CHEMIN",1,2,0,"auto",,,,"2540 RUE DELALLEAU",62350,"ROBECQ","62","FR",,,,,,,,,,,,,,"Courrier envoyé le 9/04/2017 dans campahgne d'emailing groupemtn d'achat",,,,,,,,
"SCEA LEMAITRE YVES ET NICOLAS",1,2,0,"auto",,,,"14 RUE DU FAY",62560,"THIEMBRONNE","62","FR",,,,,,,,,,,,,,"Courrier envoyé le 9/04/2017 dans campahgne d'emailing groupemtn d'achat",,,,,,,,
"EARL POUPART",1,2,0,"auto",,,,"402 IMPASSE DU HOULET",62730,"MARCK","62","FR",,,,,,,,,,,,,,"Courrier envoyé le 9/04/2017 dans campahgne d'emailing groupemtn d'achat",,,,,,,,
"EARL DES ROSES D OR",1,2,0,"auto",,,,"CANCHY",62850,"LICQUES","62","FR",,,,,,,,,,,,,,"Courrier envoyé le 9/04/2017 dans campahgne d'emailing groupemtn d'achat",,,,,,,,
"SCEA GARENAUX",1,2,0,"auto",,,,"966 RUE DE CAHEN",62850,"LICQUES","80","FR",,,,,,,,,,,,,,"Courrier envoyé le 9/04/2017 dans campahgne d'emailing groupemtn d'achat",,,,,,,,
"EARL LA BOISERAIE",1,2,0,"auto",,,,"LIEU DIT LA BOISERAIE",80110,"MOREUIL","80","FR",,,,,,,,,,,,,,"Courrier envoyé le 9/04/2017 dans campahgne d'emailing groupemtn d'achat",,,,,,,,
"MADAME FRANCOISE DUPREZ",1,2,0,"auto",,,,"CASTEL, 19 RUE DE MOREUIL",80110,"MOREUIL","80","FR",,,,,,,,,,,,,,"Courrier envoyé le 9/04/2017 dans campahgne d'emailing groupemtn d'achat",,,,,,,,
"MONSIEUR JEAN LEROY",1,2,0,"auto",,,,"Cavillon",80310,"CAVILLON","80","FR",,,,,,,,,,,,,,"Courrier envoyé le 9/04/2017 dans campahgne d'emailing groupemtn d'achat",,,,,,,,
"DE LA MARETTE",1,2,0,"auto",,,,"15 RUE DE BRIQUEMESNIL",80310,"CAVILLON","80","FR",,,,,,,,,,,,,,"Courrier envoyé le 9/04/2017 dans campahgne d'emailing groupemtn d'achat",,,,,,,,
"GAEC ROUCOU FRERES",1,2,0,"auto",,,,,80310,"CAVILLON","80","FR",,,,,,,,,,,,,,"Courrier envoyé le 9/04/2017 dans campahgne d'emailing groupemtn d'achat",,,,,,,,
"MONSIEUR EDOUARD LESUEUR",1,2,0,"auto",,,,,80310,"CAVILLON","","FR",,,,,,,,,,,,,,"Courrier envoyé le 9/04/2017 dans campahgne d'emailing groupemtn d'achat",,,,,,,,
