Id,Nom,Client,Code client,Adresse,Code postal,Ville,Forme juridique,Identifiant professionnel 1,Identifiant professionnel 2,Identifiant professionnel 4,Identifiant professionnel 3,Identifiant professionnel 5,Identifiant professionnel 6,Num. TVA,
60,Le Parisien,0,,,,,,,,,,,,,
61,EURL Baumont,0,,Le bois de la Touche,41160,Brevainville,,,,,,,,,
62,Lécalier SARL,2,CL-1703-000025,146 route du chateau,76430,Sainnneville sur Seine,,,,,,,,,
63,Flandres Oignons,2,CL-1703-000026,3405 RD 916,59380,Quadypre,,,,,,,,,
64,Ekylibre,0,,,,,,,,,,,,,
65,Arnaud Targat,2,CL-1703-000027,,,,,,,,,,,,
66,BERTRAND DUBOIS,2,CL-1703-000028,10 RUE DU 11 NOVEMBRE,62580,FARBUS,,,,,,,,,
68,SCEA DE THEUVY,2,CL-1703-000030,41 RUE DU PRIEURE,28170,TREMBLAY LES VILLAGES,,,,,,,,,
69,GAEC DE LA BESNARDAIS,2,CL-1703-000031,LA BESNARDAIS,53300,SOUCE,,,,,,,,,
70,EARL ZINS DUTHOIT,0,,24 CHAUSSEE BRUNEHAUT,59570,BERMERIES,,,,,,,,,
72,Méthalac,0,,3 cours charlemagne,69217,Lyon,,,,,,,,,
73,SARL DES CAPPES,2,CL-1703-000032,1025 RUE DES CAPPES,62730,LES ATTAQUES,,,,,,,,,
74,SYNDICAT VIGNERONS INDEPENDANTS DE FRANCE,0,,,,,,,,,,,,,
75,EARL HUGUES DEBLOCK,2,CL-1703-000033,1143 RUE DE CHAUNY,80400,BROUCHY,,,,,,,,,
76,Groupe ADVITAM,0,,,,,,,,,,,,,
77,EARL DEBLOCK FLORENCE ET STEPHANE,2,CL-1703-000034,4 RUE DES ETANGS,80200,SAINT CHRIST BRIOST,,,,,,,,,
78,AGRIAL,0,,"4, rue des Roquemonts CS 35051",14050,CAEN Cedex 4,,,,,,,,,
80,Agglo Saint Quesntinois,0,CL-1703-000035,Espace Créatis 6 av d'Archimède BP80352,02108,Saint Quentin,,,,,,,,,
